year,month,date,monthly_increase
2020,January,2020-01-01,6
2020,February,2020-02-01,63
2020,March,2020-03-01,188391
2020,April,2020-04-01,887295
2020,May,2020-05-01,723546
2020,June,2020-06-01,854019
2020,July,2020-07-01,1918348
2020,August,2020-08-01,1473788
2020,September,2020-09-01,1217278
2020,October,2020-10-01,1946272
2020,November,2020-11-01,4406314
2020,December,2020-12-01,6409480
2021,January ,2021-01-01,6196629
2021,February ,2021-02-01,2402731
2021,March ,2021-03-01,1854725
2021,April ,2021-04-01,1883488
2021,May ,2021-05-01,915538
2021,June ,2021-06-01,361852
2021,July ,2021-07-01,1378800
2021,August ,2021-08-01,4298065
2021,September ,2021-09-01,4141403
2021,October ,2021-10-01,2476063
2021,November ,2021-11-01,2261087
